172,you must visit our diy section for your own good youll find our dumsor survival kit n more u noe u need it  ,joy,neutral,,,,,,,,,,,,
216,good morning ghana and mr president how are u do today hope u feel great plss still continue to work hard n solve de dumsor problem,joy,neutral,,,,,,,,,,,,
421,live fm cos the dumsor kill everything,joy,neutral,,,,,,,,,,,,
578, the way he unfollows and follows me its like dumsor dumsor wanlovforprez,joy,neutral,,,,,,,,,,,,
579,"well in other news
because of dumsor a friend of mine is going to be a mommy soon
tragic",joy,neutral,,,,,,,,,,,,
618, ok so the on and off dumsor is kinda confusing to me <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E39> why u play with my happiness like that ecg <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E33> dumsor accra gh…,joy,neutral,,,,,,,,,,,,
622,ok so the on and off dumsor is kinda confusing to me <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E39> why u play with my happiness like that ecg <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E33> dumsor accra ghana pleasefix,joy,neutral,,,,,,,,,,,,
688, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
715, oh yes dumsor is play a bug negative role  but i believe  projects like this come with their independent power projects,joy,neutral,,,,,,,,,,,,
729, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
808, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
824, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
837, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
842, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
843, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
847, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
848, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
849, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
